Price,Close,High,Low,Open,Volume,EMA_12,EMA_26,EMA_50,EMA_200,MACD,MACD_Signal,MACD_Hist,RSI_14
Ticker,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ
Date,,,,,,,,,,,,,
2025-04-01,29.200273513793945,29.38458230939124,27.70588896692331,28.233905524225893,194196400,30.639704805303033,32.68124262993731,35.12507596354532,35.58308695654179,-2.0415378246342755,-2.1575149520425807,0.1159771274083052,46.30970183194164
2025-04-02,29.852821350097656,30.48544435338649,27.940009103212788,27.989821160079433,246174800,30.518645812194514,32.47172994254178,34.91832088066502,35.52606938831847,-1.953084130347264,-2.1166287877035175,0.1635446573562533,53.908415865958965
2025-04-03,25.05584716796875,26.814240942107883,24.961203497488597,26.116860727408007,280231400,29.6782152515444,31.922405292573405,34.53155720565733,35.4218880726931,-2.244190041029007,-2.1421410383686155,-0.1020490026603919,33.74640594531276
2025-04-04,20.46808624267578,23.302434799008196,20.43819786889533,22.90891499537696,516053400,28.26127232710307,31.07393721480321,33.98004854044237,35.27309402463323,-2.8126648877001372,-2.27624580823492,-0.536419079465217,24.697436571602154
2025-04-07,20.547786712646484,23.32734277278439,17.434485695578836,18.306209980357774,791455200,27.074582232571288,30.2942223627916,33.453293174646454,35.126573553867196,-3.219640130220313,-2.464924672631999,-0.7547154575883139,26.950884101828336
2025-04-08,19.377185821533203,23.317379417403263,18.480553630142825,22.61003645532953,502295400,25.89036740010389,29.485552989365058,32.90128896472044,34.96986322817233,-3.5951855892611633,-2.690976855957832,-0.9042087333033316,21.142825459576954
2025-04-09,26.206523895263672,26.60502605985203,19.29250421387488,19.307447451231877,713864000,25.939006860897702,29.242661945357543,32.63874915807508,34.88266582187473,-3.303655084459841,-2.813512501658234,-0.490142582801607,41.720311532758444
2025-04-10,22.983633041381836,24.57764353640674,20.70718749793799,24.248879026199763,563385400,25.48433396558757,28.779030174692675,32.260117153498875,34.76426748575042,-3.294696209105105,-2.9097492431476084,-0.3849469659574964,36.58155304409339
2025-04-11,24.199068069458008,24.44314981528594,22.22647901840108,22.749513231097723,358585800,25.286600750798407,28.43977372245307,31.943997581575704,34.65914112339926,-3.153172971654662,-2.958433988849019,-0.1947389828056427,34.93149423453164
2025-04-14,24.707155227661133,25.927569562742537,23.945019774008987,25.85285148113025,294861400,25.197455285700364,28.163283463579592,31.660199842206502,34.56011638811828,-2.965828177879228,-2.9599128266550614,-0.0059153512241665,34.754141467087365
2025-04-15,24.801803588867188,25.509144722330586,24.502925528081636,24.886484470954375,209340200,25.13658579387987,27.914284954341635,31.391243126389277,34.46301874832474,-2.777699160461762,-2.9234700934164013,0.1457709329546399,37.39098825590944
2025-04-16,22.560224533081055,23.9151318187608,21.499211033831877,23.32734234569156,269148800,24.740222522987747,27.51768788610011,31.04492867174974,34.34458298498899,-2.7774653631123627,-2.894269147355594,0.1168037842432312,35.159662767349005
2025-04-17,22.49546813964844,23.05835350526944,22.091983636825,22.95872749096892,202191600,24.3948756947817,27.14567160858517,30.709655709706553,34.226681344736846,-2.750795913803472,-2.86557450064517,0.1147785868416977,38.395584999012826
2025-04-21,20.851646423339844,21.73831399712618,20.044679284273535,21.603819157247084,229539400,23.84976349917526,26.67944752078922,30.32306711024119,34.093596420145836,-2.8296840216139607,-2.858396404838928,0.0287123832249673,36.14998837689206
2025-04-22,22.445655822753903,22.903932822939495,21.469323174161385,21.648649617784667,260222800,23.633746933571977,26.365833320934755,30.01414902053581,33.977696513704124,-2.7320863873627808,-2.833134401343699,0.1010480139809182,38.23325498284079
2025-04-23,23.935056686401367,25.31985420423923,23.725843780230555,24.527830387634772,303995400,23.680102280161112,26.1857757924508,29.77575324272662,33.87776974925335,-2.5056735122896896,-2.767642223532897,0.2619687112432074,39.98313418172532
2025-04-24,25.972402572631836,26.042140212647876,24.17914191430324,24.278767928701093,240615400,24.032763863618147,26.16997036876051,29.626602236056236,33.79910937933672,-2.1372065051423625,-2.64155507985479,0.5043485747124277,51.71130842682444
2025-04-25,26.82918357849121,26.933790038290415,25.64363800014236,25.92259045981508,226103200,24.462982281290927,26.21880097688871,29.516899543602708,33.72975688380592,-1.7558186955977817,-2.4644078030033887,0.708589107405607,63.79943656060159
2025-04-28,26.80925941467285,27.217724384259412,25.72333979302811,26.908885434129925,191356800,24.82394799411891,26.262538638946793,29.410717577762323,33.660896212471265,-1.4385906448278796,-2.259244371368287,0.8206537265404075,63.61863612313866
2025-04-29,27.332292556762695,27.481730629913077,26.316112519215167,26.420718980399617,169808000,25.209847157602574,26.34177966989612,29.32921071419371,33.59792503181745,-1.1319325122935453,-2.0337819995533386,0.9018494872597932,67.80378796642576
2025-04-30,27.3372745513916,27.60626231952275,25.0658094079843,25.88273930423719,268446600,25.537143679723965,26.415520031488377,29.251095570554412,33.53563000216147,-0.8783763517644125,-1.8027008699955536,0.924324518231141,53.64365818391815
2025-05-01,28.278736114501953,29.334767290728525,28.208998475535314,28.6722578203373,205481600,25.958927131228272,26.55353603763753,29.21296382717981,33.48332260029421,-0.5946089064092597,-1.561082477278295,0.9664735708690352,70.00376562290363
2025-05-02,29.603755950927734,29.98233250684649,28.90637578450973,29.210234258446032,195097800,26.51967002656665,26.779478253436807,29.228289008503253,33.44471994706668,-0.259808226870156,-1.3008276271966672,1.0410194003265112,70.25008772186844
